numdomains,numns,asncount,countrycount
6494,1,1,1
2,1,1,2
20,1,2,1
20,1,2,2
1,1,3,1
9,1,4,1
171880,2,1,1
1529,2,1,2
5,2,1,3
14336,2,2,1
25693,2,2,2
51,2,2,3
364,2,2,4
71,2,3,1
297,2,3,2
47,2,3,3
17,2,3,4
51,2,4,3
6,2,5,1
9,2,5,3
25,2,7,2
17166,3,1,1
294,3,1,2
107,3,1,3
3487,3,2,1
4395,3,2,2
1335,3,2,3
3,3,2,4
1889,3,3,1
1541,3,3,2
3903,3,3,3
20,3,3,4
124,3,4,1
62,3,4,2
58,3,4,3
2,3,5,4
27133,4,1,1
91,4,1,2
23,4,1,3
360,4,1,4
890,4,2,1
18832,4,2,2
176,4,2,3
2926,4,3,1
7828,4,3,2
12128,4,3,3
16,4,3,4
14,4,3,5
111,4,4,1
107,4,4,2
210,4,4,3
782,4,4,4
12,4,4,5
33,4,5,2
10,4,5,4
136,4,6,1
2347,5,1,1
3,5,1,2
67,5,1,3
9,5,1,5
954,5,2,1
76,5,2,2
44,5,2,3
39,5,2,4
68,5,3,1
2820,5,3,2
565,5,3,3
36,5,3,4
165,5,4,1
17,5,4,2
47,5,4,3
27,5,4,4
14,5,5,3
75,5,5,4
49,5,5,5
1,5,6,3
25,5,6,4
639,6,1,1
10,6,1,2
12,6,1,3
197,6,2,1
27,6,2,2
27,6,2,3
3,6,2,4
106,6,3,1
1,6,3,2
15,6,3,3
2,6,3,4
4,6,3,5
12,6,4,1
1,6,4,2
1,6,4,3
1,6,4,5
1,6,5,3
1,6,5,4
1,6,6,5
25,7,1,1
2,7,1,3
325,7,2,1
9,7,2,2
2,7,2,4
10,7,3,1
61,7,3,3
1,7,4,1
3,7,4,2
1,7,4,3
2,7,4,4
21,8,1,1
2,8,1,3
4,8,2,1
17,8,2,2
2,8,2,3
4,8,2,4
1,8,3,1
1,8,3,2
1,8,3,3
1,8,3,5
1,8,4,1
15,9,1,1
1,9,2,1
19,9,2,2
1,9,2,3
7,9,2,4
2,9,3,1
2,9,3,4
3,9,3,5
1,9,4,4
73,9,4,5
9,9,4,6
3,9,5,6
2,9,5,7
35,9,6,7
1,10,1,1
3,10,2,1
6,10,2,2
1,10,2,4
2,10,3,3
1,10,4,6
2,10,5,6
1,10,6,7
1,10,7,8
1,11,1,2
3,11,2,2
1,11,2,3
3,11,2,4
1,11,3,1
2,11,3,4
11,11,3,5
4,11,4,5
4,11,4,6
23,11,5,6
7,12,5,6
2,13,2,4
1,13,3,1
3,13,3,5
2,13,4,5
37,13,5,6
4,13,6,7
3,14,2,4
1,14,3,4
4,14,3,5
5,14,4,5
10,14,4,6
2,14,5,6
1,14,5,7
13,14,6,7
1,15,5,6
1,16,6,7
1,20,2,1
